xe,rhoe,ue,pe,ee,Me,se
0,0.445,0.698,3.528,19.82,0.20951,2.3943
0.002,0.445,0.698,3.528,19.82,0.20951,2.3943
0.004,0.445,0.698,3.528,19.82,0.20951,2.3943
0.006,0.445,0.698,3.528,19.82,0.20951,2.3943
0.008,0.445,0.698,3.528,19.82,0.20951,2.3943
0.01,0.445,0.698,3.528,19.82,0.20951,2.3943
0.012,0.445,0.698,3.528,19.82,0.20951,2.3943
0.014,0.445,0.698,3.528,19.82,0.20951,2.3943
0.016,0.445,0.698,3.528,19.82,0.20951,2.3943
0.018,0.445,0.698,3.528,19.82,0.20951,2.3943
0.02,0.445,0.698,3.528,19.82,0.20951,2.3943
0.022,0.445,0.698,3.528,19.82,0.20951,2.3943
0.024,0.445,0.698,3.528,19.82,0.20951,2.3943
0.026,0.445,0.698,3.528,19.82,0.20951,2.3943
0.028,0.445,0.698,3.528,19.82,0.20951,2.3943
0.03,0.445,0.698,3.528,19.82,0.20951,2.3943
0.032,0.445,0.698,3.528,19.82,0.20951,2.3943
0.034,0.445,0.698,3.528,19.82,0.20951,2.3943
0.036,0.445,0.698,3.528,19.82,0.20951,2.3943
0.038,0.445,0.698,3.528,19.82,0.20951,2.3943
0.04,0.445,0.698,3.528,19.82,0.20951,2.3943
0.042,0.445,0.698,3.528,19.82,0.20951,2.3943
0.044,0.445,0.698,3.528,19.82,0.20951,2.3943
0.046,0.445,0.698,3.528,19.82,0.20951,2.3943
0.048,0.445,0.698,3.528,19.82,0.20951,2.3943
0.05,0.445,0.698,3.528,19.82,0.20951,2.3943
0.052,0.445,0.698,3.528,19.82,0.20951,2.3943
0.054,0.445,0.698,3.528,19.82,0.20951,2.3943
0.056,0.445,0.698,3.528,19.82,0.20951,2.3943
0.058,0.445,0.698,3.528,19.82,0.20951,2.3943
0.06,0.445,0.698,3.528,19.82,0.20951,2.3943
0.062,0.445,0.698,3.528,19.82,0.20951,2.3943
0.064,0.445,0.698,3.528,19.82,0.20951,2.3943
0.066,0.445,0.698,3.528,19.82,0.20951,2.3943
0.068,0.445,0.698,3.528,19.82,0.20951,2.3943
0.07,0.445,0.698,3.528,19.82,0.20951,2.3943
0.072,0.445,0.698,3.528,19.82,0.20951,2.3943
0.074,0.445,0.698,3.528,19.82,0.20951,2.3943
0.076,0.445,0.698,3.528,19.82,0.20951,2.3943
0.078,0.445,0.698,3.528,19.82,0.20951,2.3943
0.08,0.445,0.698,3.528,19.82,0.20951,2.3943
0.082,0.445,0.698,3.528,19.82,0.20951,2.3943
0.084,0.445,0.698,3.528,19.82,0.20951,2.3943
0.086,0.445,0.698,3.528,19.82,0.20951,2.3943
0.088,0.445,0.698,3.528,19.82,0.20951,2.3943
0.09,0.445,0.698,3.528,19.82,0.20951,2.3943
0.092,0.445,0.698,3.528,19.82,0.20951,2.3943
0.094,0.445,0.698,3.528,19.82,0.20951,2.3943
0.096,0.445,0.698,3.528,19.82,0.20951,2.3943
0.098,0.445,0.698,3.528,19.82,0.20951,2.3943
0.1,0.445,0.698,3.528,19.82,0.20951,2.3943
0.102,0.445,0.698,3.528,19.82,0.20951,2.3943
