xe,rhoe,ue,pe,ee,Me,se
0,1,0.75,1,2.5,0.63387,0
0.002,1,0.75,1,2.5,0.63387,0
0.004,1,0.75,1,2.5,0.63387,0
0.006,1,0.75,1,2.5,0.63387,0
0.008,1,0.75,1,2.5,0.63387,0
0.01,1,0.75,1,2.5,0.63387,0
0.012,1,0.75,1,2.5,0.63387,0
0.014,1,0.75,1,2.5,0.63387,0
0.016,1,0.75,1,2.5,0.63387,0
0.018,1,0.75,1,2.5,0.63387,0
0.02,1,0.75,1,2.5,0.63387,0
0.022,1,0.75,1,2.5,0.63387,0
0.024,1,0.75,1,2.5,0.63387,0
0.026,1,0.75,1,2.5,0.63387,0
0.028,1,0.75,1,2.5,0.63387,0
0.03,1,0.75,1,2.5,0.63387,0
0.032,1,0.75,1,2.5,0.63387,0
0.034,1,0.75,1,2.5,0.63387,0
0.036,1,0.75,1,2.5,0.63387,0
0.038,1,0.75,1,2.5,0.63387,0
0.04,1,0.75,1,2.5,0.63387,0
0.042,1,0.75,1,2.5,0.63387,0
0.044,1,0.75,1,2.5,0.63387,0
0.046,1,0.75,1,2.5,0.63387,0
0.048,1,0.75,1,2.5,0.63387,0
0.05,1,0.75,1,2.5,0.63387,0
0.052,1,0.75,1,2.5,0.63387,0
0.054,1,0.75,1,2.5,0.63387,0
0.056,1,0.75,1,2.5,0.63387,0
0.058,1,0.75,1,2.5,0.63387,0
0.06,1,0.75,1,2.5,0.63387,0
0.062,1,0.75,1,2.5,0.63387,0
0.064,1,0.75,1,2.5,0.63387,0
0.066,1,0.75,1,2.5,0.63387,0
0.068,1,0.75,1,2.5,0.63387,0
0.07,1,0.75,1,2.5,0.63387,0
0.072,1,0.75,1,2.5,0.63387,0
0.074,1,0.75,1,2.5,0.63387,0
0.076,1,0.75,1,2.5,0.63387,0
0.078,1,0.75,1,2.5,0.63387,0
0.08,1,0.75,1,2.5,0.63387,0
0.082,1,0.75,1,2.5,0.63387,0
0.084,1,0.75,1,2.5,0.63387,0
0.086,1,0.75,1,2.5,0.63387,0
0.088,1,0.75,1,2.5,0.63387,0
0.09,1,0.75,1,2.5,0.63387,0
0.092,1,0.75,1,2.5,0.63387,0
0.094,1,0.75,1,2.5,0.63387,0
0.096,1,0.75,1,2.5,0.63387,0
0.098,1,0.75,1,2.5,0.63387,0
0.1,1,0.75,1,2.5,0.63387,0
0.102,1,0.75,1,2.5,0.63387,0
0.104,1,0.75,1,2.5,0.63387,0
0.106,1,0.75,1,2.5,0.63387,0
0.108,1,0.75,1,2.5,0.63387,0
0.11,1,0.75,1,2.5,0.63387,0
0.112,1,0.75,1,2.5,0.63387,0
0.114,1,0.75,1,2.5,0.63387,0
0.116,1,0.75,1,2.5,0.63387,0
0.118,1,0.75,1,2.5,0.63387,0
0.12,1,0.75,1,2.5,0.63387,0
0.122,1,0.75,1,2.5,0.63387,0
0.124,1,0.75,1,2.5,0.63387,0
0.126,1,0.75,1,2.5,0.63387,0
0.128,1,0.75,1,2.5,0.63387,0
0.13,1,0.75,1,2.5,0.63387,0
0.132,1,0.75,1,2.5,0.63387,0
0.134,1,0.75,1,2.5,0.63387,0
0.136,1,0.75,1,2.5,0.63387,0
0.138,1,0.75,1,2.5,0.63387,0
0.14,1,0.75,1,2.5,0.63387,0
0.142,1,0.75,1,2.5,0.63387,0
0.144,1,0.75,1,2.5,0.63387,0
0.146,1,0.75,1,2.5,0.63387,0
0.148,1,0.75,1,2.5,0.63387,0
0.15,1,0.75,1,2.5,0.63387,0
0.152,1,0.75,1,2.5,0.63387,0
0.154,1,0.75,1,2.5,0.63387,0
0.156,1,0.75,1,2.5,0.63387,0
0.158,1,0.75,1,2.5,0.63387,0
0.16,1,0.75,1,2.5,0.63387,0
0.162,1,0.75,1,2.5,0.63387,0
0.164,1,0.75,1,2.5,0.63387,0
0.166,1,0.75,1,2.5,0.63387,0
0.168,1,0.75,1,2.5,0.63387,0
0.17,1,0.75,1,2.5,0.63387,0
0.172,1,0.75,1,2.5,0.63387,0
0.174,1,0.75,1,2.5,0.63387,0
0.176,1,0.75,1,2.5,0.63387,0
0.178,1,0.75,1,2.5,0.63387,0
0.18,1,0.75,1,2.5,0.63387,0
0.182,1,0.75,1,2.5,0.63387,0
0.184,1,0.75,1,2.5,0.63387,0
0.186,1,0.75,1,2.5,0.63387,0
0.188,1,0.75,1,2.5,0.63387,0
0.19,1,0.75,1,2.5,0.63387,0
0.192,1,0.75,1,2.5,0.63387,0
