xe,rhoe,ue,pe,ee,Me,se
0.178,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.18,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.182,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.184,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.186,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.188,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.19,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.192,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.194,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.196,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.198,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.2,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.202,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.204,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.206,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.208,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.21,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.212,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.214,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.216,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.218,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.22,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.222,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.224,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.226,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.228,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.23,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.232,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.234,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.236,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.238,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.24,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.242,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.244,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.246,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.248,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.25,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.252,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.254,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.256,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.258,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.26,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.262,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.264,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.266,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.268,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.27,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.272,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.274,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.276,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.278,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.28,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.282,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.284,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.286,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.288,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.29,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.292,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.294,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.296,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.298,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.3,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.302,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.304,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.306,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.308,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.31,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.312,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.314,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.316,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.318,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.32,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.322,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.324,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.326,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.328,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.33,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.332,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.334,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.336,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.338,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.34,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.342,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.344,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.346,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.348,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.35,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.352,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.354,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.356,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.358,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.36,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.362,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.364,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.366,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.368,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.37,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.372,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.374,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.376,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.378,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.38,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.382,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.384,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.386,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.388,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.39,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.392,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.394,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.396,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.398,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.4,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.402,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.404,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.406,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.408,3.857,0.92,10.333,6.6976,0.47505,0.4455
0.41,3.8294,0.93388,10.23,6.6784,0.4829,0.4455
0.412,3.7929,0.9524,10.093,6.6528,0.49343,0.4455
0.414,3.7567,0.97092,9.9586,6.6273,0.50399,0.4455
0.416,3.7207,0.98944,9.8254,6.6019,0.51459,0.4455
0.418,3.685,1.008,9.6936,6.5764,0.52523,0.4455
0.42,3.6496,1.0265,9.5634,6.5511,0.53592,0.4455
0.422,3.6144,1.045,9.4347,6.5258,0.54664,0.4455
0.424,3.5795,1.0635,9.3075,6.5005,0.55741,0.4455
0.426,3.5449,1.082,9.1818,6.4753,0.56822,0.4455
0.428,3.5106,1.1005,9.0575,6.4501,0.57907,0.4455
